"";"price";"type";"district";"municipality";"street";"c";"link";"condition";"usable_area";"built_up_area";"land_area";"commission_in_price";"rooms"
"91";NA;"Byt";"okres Sabinov";"Lipany";"okres Sabinov";NA;"https://www.nehnutelnosti.sk/4982501/1-izbovy-byt/";"Pôvodný stav";"43";NA;NA;"no";"1"
"92";119000;"Byt";"okres Nové Mesto nad Váhom";"Nové Mesto nad Váhom";"okres Nové Mesto nad Váhom";NA;"https://www.nehnutelnosti.sk/4984748/predaj-3izb-byt-75m2-2-balkony-s-krasnymi-vyhladmi-nove-mesto-nad-vahom/";"Čiastočná rekonštrukcia";"75";NA;NA;"no";"3"
"93";279990;"Rodinný dom";"okres Senec";"Senec";"okres Senec";NA;"https://www.nehnutelnosti.sk/4984745/rodinny-dom-v-senci/";"Novostavba";"97";NA;"577";"no";NA
"94";262900;"Byt";"okres Bratislava";"Bratislava V - Petržalka";"okres Bratislava";NA;"https://www.nehnutelnosti.sk/4984737/3-izb-byt-78-m2-parkovacie-statie-a-kobka-novostavba-kopcianka-bratislava-petrzalka/";"Novostavba";"77,92";NA;NA;"no";"3"
"95";328000;"Rodinný dom";"okres Pezinok";"Vinosady";"okres Pezinok";NA;"https://www.nehnutelnosti.sk/4984736/predaj-novostavby-samostatne-stojaceho-4-izb-bungalovu-s-pozemkom-611m-vo-vinosadoch/";"Novostavba";"104,7";"138";"611";"yes";NA
"96";255000;"Rodinný dom";"okres Žilina";"Žilina - Závodie";"okres Žilina";NA;"https://www.nehnutelnosti.sk/4984730/prizemie-rodinneho-domu-s-vlastnou-zahradou/";"Novostavba";"80";NA;NA;"no";NA
"97";95000;"Byt";"okres Levice";"Levice";"okres Levice";NA;"https://www.nehnutelnosti.sk/4984724/na-predaj-krasny-2-izbovy-byt-kpt-j-nalepku/";"Kompletná rekonštrukcia";"61,5";NA;NA;"no";"2"
"98";234000;"Rodinný dom";"okres Trnava";"Opoj";"okres Trnava";NA;"https://www.nehnutelnosti.sk/4984718/videoprehliadka-rodinny-dom-opoj-novostavba-exkluzivne-iba-u-nas/";"Novostavba";"98";"118";"418";"no";NA
"99";295000;"Rodinný dom";"okres Žilina";"Rosina";"okres Žilina";NA;"https://www.nehnutelnosti.sk/4984700/na-predaj-rodinny-dom-rosina/";"Čiastočná rekonštrukcia";"170";"115";"440";"no";NA
"100";121900;"Rodinný dom";"okres Galanta";"Mostová";"okres Galanta";NA;"https://www.nehnutelnosti.sk/4984695/na-predaj-dvojpodlazny-rodinny-dom-s-velkym-pozemkom/";"Pôvodný stav";"288";NA;"969";"yes";NA
